Roll	Pitch	Yaw	Alt	RollSetpoint	PitchSetpoint	YawSetpoint	AltSetpoint
-0.3	-1.83	52.42	-57.5	0	0.3	180.36	1066	
-0.29	-1.63	52.43	-57.5	0	0.31	180.36	1066	
-0.27	-1.42	52.45	-57.5	0	0.32	180.36	1066	
-0.24	-1.15	52.44	-57.5	0	0.33	180.36	1066	
-0.18	-0.92	52.45	-57.5	0	0.34	180.36	1066	
-0.16	-0.63	52.46	-57.5	0	0.35	180.36	1066	
-0.16	-0.46	52.45	-57.5	0	0.36	180.36	1066	
-0.17	-0.38	52.46	-57.4	0	0.37	180.36	1066	
-0.26	-0.37	52.47	-57.4	0	0.38	180.36	1066	
-0.32	-0.51	52.47	-57.4	0	0.39	180.36	1066	
-0.39	-0.71	52.47	-57.4	0	0.4	180.36	1066	
-0.47	-1.04	52.47	-57.4	0	0.41	180.36	1066	
-0.48	-1.27	52.46	-57.4	0	0.42	180.36	1066	
-0.47	-1.55	52.47	-57.4	0	0.43	180.36	1066	
-0.43	-1.69	52.45	-57.4	0	0.44	180.36	1066	
-0.36	-1.82	52.46	-57.4	0	0.45	180.36	1066	
-0.34	-1.85	52.42	-57.4	0	0.46	180.36	1066	
-0.35	-1.79	52.42	-57.4	0	0.47	180.36	1066	
-0.39	-1.67	52.41	-57.4	0	0.48	180.36	1066	
-0.43	-1.48	52.43	-57.4	0	0.49	180.36	1066	
-0.46	-1.22	52.42	-57.4	0	0.5	180.36	1066	
-0.49	-0.98	52.44	-57.4	0	0.51	180.36	1066	
-0.45	-0.75	52.46	-57.4	0	0.52	180.36	1066	
-0.4	-0.62	52.47	-57.4	0	0.53	180.36	1066	
-0.36	-0.52	52.47	-57.4	0	0.54	180.36	1066	
-0.3	-0.54	52.47	-57.4	0	0.55	180.36	1066	
-0.31	-0.64	52.47	-57.4	0	0.56	180.36	1066	
-0.35	-0.78	52.47	-57.4	0	0.57	180.36	1066	
-0.36	-0.94	52.45	-57.4	0	0.58	180.36	1066	
-0.36	-1.15	52.45	-57.4	0	0.59	180.36	1066	
-0.38	-1.3	52.44	-57.4	0	0.6	180.36	1066	
-0.34	-1.44	52.43	-57.4	0	0.61	180.36	1066	
-0.31	-1.45	52.43	-57.4	0	0.62	180.36	1066	
-0.28	-1.46	52.43	-57.4	0	0.63	180.36	1066	
-0.26	-1.36	52.41	-57.4	0	0.64	180.36	1066	
-0.23	-1.21	52.43	-57.4	0	0.65	180.36	1066	
-0.2	-0.98	52.4	-57.4	0	0.66	180.36	1066	
-0.14	-0.71	52.42	-57.4	0	0.67	180.36	1066	
-0.08	-0.41	52.4	-57.4	0	0.68	180.36	1066	
-0.01	-0.15	52.4	-57.4	0	0.69	180.36	1066	
0.04	0	52.4	-57.4	0	0.7	180.36	1066	
0.03	0.12	52.42	-57.4	0	0.71	180.36	1066	
-0.02	0.12	52.42	-57.4	0	0.72	180.36	1066	
-0.06	0	52.41	-57.3	0	0.73	180.36	1066	
-0.15	-0.2	52.4	-57.3	0	0.74	180.36	1066	
-0.18	-0.43	52.39	-57.3	0	0.75	180.36	1066	
-0.2	-0.69	52.38	-57.3	0	0.76	180.36	1066	
-0.17	-0.9	52.39	-57.3	0	0.77	180.36	1066	
-0.13	-1.04	52.37	-57.3	0	0.78	180.36	1066	
-0.06	-1.15	52.35	-57.3	0	0.79	180.36	1066	
-0.01	-1.15	52.35	-57.3	0	0.8	180.36	1066	
0	-1.11	52.32	-57.3	0	0.81	180.36	1066	
0	-0.98	52.32	-57.3	0	0.82	180.36	1066	
-0.06	-0.78	52.31	-57.3	0	0.83	180.36	1066	
-0.08	-0.55	52.3	-57.3	0	0.84	180.36	1066	
-0.08	-0.31	52.31	-57.3	0	0.85	180.36	1066	
